"","marker","tissue","lag_minus_6","lag_minus_5","lag_minus_4","lag_minus_3","lag_minus_2","lag_minus_1","lag_0","lag_plus_1","lag_plus_2","lag_plus_3","lag_plus_4","lag_plus_5","lag_plus_6"
"48","Ki67","hindbrain","0.377306081064179","-0.137374313217907","-0.553841094259442","-0.468101075925299","-0.180078536243573","-0.0455564810217471","0.288726449906505","0.421585544862925","0.4586542443767","0.140512696930327","-0.0146638004316124","-0.11826532823279","-0.169614906513727"
"49","MAP2","telencephalon","-0.23756047985216","-0.455194629507564","-0.497164314893034","0.00505116341464531","0.405518933476742","0.721402321831242","0.585112689148834","0.566345306393449","0.0982507542719315","-0.276306104779125","-0.336543749221897","-0.242427909453242","-0.215254833576149"
"50","MAP2","diencephalon","-0.0177198030617205","-0.159948610377132","-0.389343426588812","-0.127560598610887","0.0704414497162301","0.248323138217205","0.140844934077558","0.572714456377682","0.236283276795221","-0.0890916358687242","-0.144296688913582","-0.114508637878327","-0.208378394966"
"51","MAP2","midbrain","0.00701701103692135","0.267748330684696","0.304464704557705","0.110918071382153","0.0905252416436648","-0.0696905759440789","-0.00481843082839718","-0.294697230398033","-0.5007876630233","-0.548411515766685","-0.0952437783930716","0.369180357154539","0.443580484534638"
"52","MAP2","hindbrain","0.120010733106142","0.370318980197823","0.26926785161918","0.186591728486657","-0.0348192117160933","-0.212346352632297","-0.49275557047214","-0.832849510763387","-0.59483718704631","0.102476448065216","0.308048143956478","0.366245057783201","0.301452642555133"
"53","MCAM","telencephalon","0.39042017468289","0.450157630220321","0.0589922611024981","-0.282170553801655","-0.331437249619968","-0.54905275158422","-0.602116048438252","-0.466469239861767","-0.156560060347576","0.336547946226775","0.274804740873584","0.25773939672648","0.296209476425972"
"54","MCAM","diencephalon","0.229476698677607","0.336717961719551","0.14403158866909","0.0625698397501335","-0.0338522608901948","-0.358017299113143","-0.739865889964148","-0.713245798715972","-0.310182310517723","0.231768462833407","0.279214288627638","0.313729742632759","0.347335184081398"
"55","MCAM","midbrain","0.208422368109655","0.248613928149606","0.256176710197989","0.210109652702387","0.0872853368150951","-0.353788050029061","-0.704945249913423","-0.548726364931168","-0.400634653539352","-0.35895511194888","0.0102272649591942","0.294632679757446","0.6601094023125"
"56","MCAM","hindbrain","0.258320978925374","0.333181265025182","0.0644556604689854","-0.0214341689174353","-0.0615275165880703","-0.346585382786794","-0.672836306111772","-0.622054871550969","-0.35013943661119","0.227306391255979","0.294648726961001","0.288503923356006","0.355766860112022"
"57","N_Cadherin","telencephalon","0.316679678729738","0.434796728303719","0.207637620802259","0.0363288819082011","-0.238387017297291","-0.773554485942399","-0.702343959399025","-0.420125188429581","-0.0788854302482864","0.353332729232901","0.345404280707976","0.289363025412562","0.122917497771047"
"58","N_Cadherin","diencephalon","0.570735016567862","0.539558948249739","-0.0323693431044604","-0.407753517153026","-0.709765816961505","-0.707092530713594","-0.414384001495975","-0.0900921113228002","0.162988150252197","0.325652857663412","0.265923896015541","0.202269443149934","0.0855819199242147"
"59","N_Cadherin","midbrain","0.628965847987062","0.247985114441204","-0.0908883935352543","0.0804892872764836","-0.486216669300066","-0.585255790159421","-0.425384950312984","-0.246093229035607","0.107212989649207","0.13391906619625","0.162155495956057","0.251638386186717","0.132423201595051"
"60","N_Cadherin","hindbrain","0.458376569840209","0.478372595715303","0.047868948576167","-0.11803949228125","-0.419039266396483","-0.506769130367999","-0.561038676540341","-0.518273078388704","-0.129976680191873","0.277809319453689","0.357360906375951","0.353785359962541","0.150767739768818"
"61","Nestin","telencephalon","-0.105311119796771","0.290923945115516","0.447330329961305","0.335068028096206","-0.580866967188147","-0.0365142573319357","0.12264020292835","0.0281932011359987","-0.122878350322519","-0.0836483262850003","-0.0194627633745139","0.130743786193716","-0.0764446909431828"
"62","Nestin","diencephalon","-0.303421034448327","0.169862784185015","0.518902076646443","0.602474998214109","-0.435143150233464","-0.196299089265505","-0.0134380527531189","0.0859536515439961","-0.0848646382089115","-0.104998539587437","-0.0767006313717795","0.120414348558813","-0.0405392463246102"
"63","Nestin","midbrain","-0.392206086311009","0.0189714848116766","0.448473435044504","0.720409543831118","0.481012633546748","-0.0723475063558747","-0.505615865077804","-0.455976318332489","-0.211843057933777","-0.0440632440137045","-0.0358372445362942","0.130728045268066","0.0628885021949469"
"64","Nestin","hindbrain","-0.382032888676566","-0.152518794311528","-0.104544151780096","0.524345751732169","0.675414313835938","0.386758993581419","0.194246402025848","-0.134862326802339","-0.101976363112832","-0.138235043695408","-0.224616494959303","-0.100783858770647","-0.0869596073933092"
"65","NeuN","telencephalon","-0.100383830926599","-0.242545592219207","-0.225003100159413","-0.117937767605532","0.422314979476737","0.309335932344007","-0.10154569794102","0.276872908415676","0.241961087016311","0.117064251709038","-0.141445143564614","-0.478424751850807","-0.101614911137767"
"66","NeuN","diencephalon","-0.0336034382259751","-0.0247416261023445","0.0378627108885171","-0.16699350193346","-0.0520460608418596","-0.0439790413084471","-0.240852649201867","0.453499992933028","0.473265260559806","0.144113199605849","-0.0628559423737457","-0.494237523452517","-0.102304445029965"
"67","NeuN","midbrain","0.149028850512227","0.150308698099457","0.171735668127699","0.552567169873874","0.152912430520876","-0.0295717785681571","-0.310281552163224","-0.176736727385596","-0.204443523024271","0.0246345232870567","0.0589922825758284","0.00706365505234165","0.076070885081859"
"68","NeuN","hindbrain","-0.291358384819045","0.118232602099136","0.329197247608094","-0.14010204459363","0.136863689617333","0.33136559674152","-0.00995012195025777","-0.34330819053764","-0.428237253078629","0.145830884382053","0.366470240980835","0.0829732889101215","-0.118348277715487"
"69","NeuroD1","telencephalon","0.140929151653715","0.0156662440944507","-0.195659981206251","-0.134410074709479","0.0896898652678668","-0.0672718719622858","-0.530175831113069","-0.00134771885191659","0.257098380285792","0.263260391813963","0.127356251687447","-0.45332952972112","0.307699146875528"
"70","NeuroD1","diencephalon","-0.188693425531314","-0.1326155722285","-0.201911899366485","0.0447068756740005","0.160407762966863","0.146224406239674","0.108723175957829","0.469493893828432","0.0650202920131845","0.291863404164632","-0.36807281200619","-0.438737957218393","0.204510432505167"
"71","NeuroD1","midbrain","-0.0135919387533027","0.0462957462326638","0.137920326467909","0.157005384273196","0.0617354802073627","-0.637506100170139","-0.114773030751997","-0.0670633379183078","0.436311919896246","-0.0388286275980753","-0.243722372772434","0.47743722784716","-0.263344810364819"
"72","NeuroD1","hindbrain","0.0589691893264874","0.180183540582479","-0.0794971532245628","-0.0084753913055564","-0.0851468183271007","-0.212855892810064","-0.632632042558875","0.117518323337389","-0.12588208366514","0.167682142265431","0.448694884658938","-0.0220038057510233","0.171021003254895"
"73","Olig2","telencephalon","0.286863605951003","0.307678472980105","0.16943550943324","-0.126044805603423","-0.157217368714694","-0.493123591997172","-0.689236496991693","-0.430222305726216","-0.0201901077745576","0.216038827958336","0.342738006304846","-0.0207593400718633","0.316263232102006"
